header_staging_01_historico_consumo;header_csv
data;Data
curral;Localidade
lote;Lote
raca;Raça
sexo;Sexo
cod_grupo_genetico;Cod Grupo Genético
grupo_genetico;Grupo Genético
setor;Setor
proprietario_predominante;Proprietário Predominante
origem_predominante;Origem Predominante
tipo_aquisicao;Tipo de Aquisição
dieta;Dieta Prevista
escore;Escore
fator_correcao_kg;Fator de Correção (kg MS/cab)
escore_noturno;Escore Noturno
data_entrada;Data Entrada
qtd_animais;Qtd. Animais
peso_entrada_kg;Peso Entrada (Kg)
peso_estimado_kg;Peso Médio Estimado (Kg)
dias_confinados;Dia Confinamento
consumo_total_kg_mn;Consumo Total (Kg MN)
consumo_total_ms;Consumo Total (Kg MS)
ms_dieta_meta_pc;%MS Dieta Meta
ms_dieta_real_pc;%MS Dieta Real
cms_previsto_kg;CMS Previsão/(Kg/Cab)
cms_realizado_kg;CMS Real/(Kg/Cab)
cmn_previsto_kg;CMN Previsão/(Kg/Cab)
cmn_realizado_kg;CMN Real/(Kg/Cab)
gmd_kg;GMD Médio (Gramas)
cms_referencia_pcpv;CMS Referência (%PV)
cms_referencia_kg;CMS Referência (Kg/Cab)
cms_realizado_pcpv;CMS Real (%PV)
;
;
;
;
;
;
;
;
;
;
;CNDT %PV Meta
;NDT Meta Curva/(Kg)
;CNDT %PV Real
;SILAGEM MAIZ (%MS)
;BURLANDA (%MS)
;MAIZ HUMIDO (%MS)
;NUCLEO CONFINAMIENTO (%MS)
;Milho, moído (nº4) (%MS)
;Fosfato Bicálcico 18 (%MS)
;Sorgo, silagem (%MS)
;Sorgo, grão úmido silagem (%MS)
;Água (%MS)
;FARELO DE SOJA (%MS)
;UREIA PECUARIA (%MS)
;CALCAREO (%MS)
;PASTO (FENO) (%MS)
;NUCLEO PASTO (%MS)
;Cloreto de sódio (Sal Comum) (%MS)
;CAPIASU (%MS)
;Milheto, silagem (%MS)
;Selenito de sódio (%MS)
;SILAGEM MAIZ (%MN)
;BURLANDA (%MN)
;MAIZ HUMIDO (%MN)
;NUCLEO CONFINAMIENTO (%MN)
;Milho, moído (nº4) (%MN)
;Fosfato Bicálcico 18 (%MN)
;Sorgo, silagem (%MN)
;Sorgo, grão úmido silagem (%MN)
;Água (%MN)
;FARELO DE SOJA (%MN)
;UREIA PECUARIA (%MN)
;CALCAREO (%MN)
;PASTO (FENO) (%MN)
;NUCLEO PASTO (%MN)
;Cloreto de sódio (Sal Comum) (%MN)
;CAPIASU (%MN)
;Milheto, silagem (%MN)
;Selenito de sódio (%MN)
;SILAGEM MAIZ (CMN)
;BURLANDA (CMN)
;MAIZ HUMIDO (CMN)
;NUCLEO CONFINAMIENTO (CMN)
;Milho, moído (nº4) (CMN)
;Fosfato Bicálcico 18 (CMN)
;Sorgo, silagem (CMN)
;Sorgo, grão úmido silagem (CMN)
;Água (CMN)
;FARELO DE SOJA (CMN)
;UREIA PECUARIA (CMN)
;CALCAREO (CMN)
;PASTO (FENO) (CMN)
;NUCLEO PASTO (CMN)
;Cloreto de sódio (Sal Comum) (CMN)
;CAPIASU (CMN)
;Milheto, silagem (CMN)
;Selenito de sódio (CMN)
